City,Country,Latitude,Longitude,Wikipedia_URL,Scrape_Success,Error_Message
Vienna,Austria,48.20833,16.3725,https://en.wikipedia.org/wiki/Vienna,True,
Salzburg,Austria,47.8,13.045,https://en.wikipedia.org/wiki/Salzburg,True,
Brussels,Belgium,50.84667,4.3525,https://en.wikipedia.org/wiki/Brussels,True,
Antwerp,Belgium,51.21778,4.40028,https://en.wikipedia.org/wiki/Antwerp,True,
Gent,Belgium,51.05361,3.72528,"https://en.wikipedia.org/wiki/Gent,_Belgium",True,
Bruges,Belgium,51.20889,3.22417,https://en.wikipedia.org/wiki/Bruges,True,
Sofia,Bulgaria,42.7,23.33,https://en.wikipedia.org/wiki/Sofia,True,
Dobrich,Bulgaria,43.567,27.833,https://en.wikipedia.org/wiki/Dobrich,True,
Zurich,Switzerland,47.37444,8.54111,https://en.wikipedia.org/wiki/Zurich,True,
Geneva,Switzerland,46.20167,6.14694,https://en.wikipedia.org/wiki/Geneva,True,
Basel,Switzerland,47.55472,7.59056,https://en.wikipedia.org/wiki/Basel,True,
Lefkosia,Cyprus,35.1725,33.365,https://en.wikipedia.org/wiki/Lefkosia,True,
Lemesos,Cyprus,34.67472,33.04417,https://en.wikipedia.org/wiki/Lemesos,True,
Prague,Czechia,50.0875,14.42139,https://en.wikipedia.org/wiki/Prague,True,
Ostrava,Czechia,49.83556,18.2925,https://en.wikipedia.org/wiki/Ostrava,True,
Berlin,Germany,52.52,13.405,https://en.wikipedia.org/wiki/Berlin,True,
Hamburg,Germany,53.55,10.0,https://en.wikipedia.org/wiki/Hamburg,True,
Munich,Germany,48.1375,11.575,https://en.wikipedia.org/wiki/Munich,True,
Cologne,Germany,50.93639,6.95278,https://en.wikipedia.org/wiki/Cologne,True,
FrankfurtamMain,Germany,,,,False,
Stuttgart,Germany,48.7775,9.18,https://en.wikipedia.org/wiki/Stuttgart,True,
Leipzig,Germany,51.34,12.375,https://en.wikipedia.org/wiki/Leipzig,True,
Dresden,Germany,51.05,13.74,https://en.wikipedia.org/wiki/Dresden,True,
Dusseldorf,Germany,51.22556,6.77667,https://en.wikipedia.org/wiki/Dusseldorf,True,
Hanover,Germany,52.367,9.717,https://en.wikipedia.org/wiki/Hanover,True,
Copenhagen,Denmark,55.67611,12.56833,https://en.wikipedia.org/wiki/Copenhagen,True,
Odense,Denmark,55.39583,10.38861,https://en.wikipedia.org/wiki/Odense,True,
Madrid,Spain,,,,False,
Barcelona,Spain,41.383,2.183,https://en.wikipedia.org/wiki/Barcelona,True,
Valencia,Spain,39.47,-0.37639,https://en.wikipedia.org/wiki/Valencia,True,
Seville,Spain,37.39,-5.99,https://en.wikipedia.org/wiki/Seville,True,
Malaga,Spain,36.71944,-4.42,https://en.wikipedia.org/wiki/Malaga,True,
Tallinn,Estonia,59.43722,24.74528,https://en.wikipedia.org/wiki/Tallinn,True,
Helsinki,Finland,60.17083,24.9375,https://en.wikipedia.org/wiki/Helsinki,True,
Tampere,Finland,61.49806,23.76,https://en.wikipedia.org/wiki/Tampere,True,
Paris,France,48.85667,2.35222,https://en.wikipedia.org/wiki/Paris,True,
Lyon,France,45.7675,4.835,https://en.wikipedia.org/wiki/Lyon,True,
Toulouse,France,43.6045,1.444,https://en.wikipedia.org/wiki/Toulouse,True,
London,UnitedKingdom,51.50722,-0.1275,https://en.wikipedia.org/wiki/London,True,
Leeds,UnitedKingdom,53.7975,-1.54361,https://en.wikipedia.org/wiki/Leeds,True,
Glasgow,UnitedKingdom,55.86111,-4.25,https://en.wikipedia.org/wiki/Glasgow,True,
Liverpool,UnitedKingdom,53.40722,-2.99167,https://en.wikipedia.org/wiki/Liverpool,True,
Edinburgh,UnitedKingdom,55.95333,-3.18917,https://en.wikipedia.org/wiki/Edinburgh,True,
Athens,Greece,37.98417,23.72806,https://en.wikipedia.org/wiki/Athens,True,
Thessaloniki,Greece,40.64028,22.93556,https://en.wikipedia.org/wiki/Thessaloniki,True,
Zagreb,Croatia,45.81306,15.9775,https://en.wikipedia.org/wiki/Zagreb,True,
Split,Croatia,43.51,16.44,"https://en.wikipedia.org/wiki/Split,_Croatia",True,
Budapest,Hungary,47.4925,19.05139,https://en.wikipedia.org/wiki/Budapest,True,
Miskolc,Hungary,48.10417,20.79167,https://en.wikipedia.org/wiki/Miskolc,True,
Debrecen,Hungary,47.53167,21.62444,https://en.wikipedia.org/wiki/Debrecen,True,
Dublin,Ireland,53.35,-6.26028,https://en.wikipedia.org/wiki/Dublin,True,
Cork,Ireland,51.89722,-8.47,"https://en.wikipedia.org/wiki/Cork,_Ireland",True,
Rome,Italy,41.89333,12.48278,https://en.wikipedia.org/wiki/Rome,True,
Milan,Italy,45.46694,9.19,https://en.wikipedia.org/wiki/Milan,True,
Naples,Italy,40.83583,14.24861,https://en.wikipedia.org/wiki/Naples,True,
Turin,Italy,45.07917,7.67611,https://en.wikipedia.org/wiki/Turin,True,
Florence,Italy,43.77139,11.25417,https://en.wikipedia.org/wiki/Florence,True,
Venice,Italy,45.4375,12.33583,https://en.wikipedia.org/wiki/Venice,True,
Luxembourg,Luxembourg,49.817,6.133,https://en.wikipedia.org/wiki/Luxembourg,True,
Riga,Latvia,56.94889,24.10639,https://en.wikipedia.org/wiki/Riga,True,
Malta,Malta,35.9,14.517,https://en.wikipedia.org/wiki/Malta,True,
TheHague,Netherlands,,,,False,
Amsterdam,Netherlands,52.37278,4.89361,https://en.wikipedia.org/wiki/Amsterdam,True,
Rotterdam,Netherlands,51.92,4.48,https://en.wikipedia.org/wiki/Rotterdam,True,
Utrecht,Netherlands,52.09083,5.12167,https://en.wikipedia.org/wiki/Utrecht,True,
Eindhoven,Netherlands,51.433,5.483,https://en.wikipedia.org/wiki/Eindhoven,True,
Oslo,Norway,59.91333,10.73889,https://en.wikipedia.org/wiki/Oslo,True,
Bergen,Norway,60.38944,5.33,https://en.wikipedia.org/wiki/Bergen,True,
Stavanger,Norway,58.97,5.73139,https://en.wikipedia.org/wiki/Stavanger,True,
Warsaw,Poland,52.23,21.01111,https://en.wikipedia.org/wiki/Warsaw,True,
Lodz,Poland,51.77694,19.45472,https://en.wikipedia.org/wiki/Lodz,True,
Cracow,Poland,50.06139,19.93722,https://en.wikipedia.org/wiki/Cracow,True,
Lisbon,Portugal,38.72528,-9.15,https://en.wikipedia.org/wiki/Lisbon,True,
Porto,Portugal,41.15,-8.61083,https://en.wikipedia.org/wiki/Porto,True,
Braga,Portugal,41.55111,-8.42833,https://en.wikipedia.org/wiki/Braga,True,
Coimbra,Portugal,40.20278,-8.41389,https://en.wikipedia.org/wiki/Coimbra,True,
Giroc,Romania,45.7,21.233,https://en.wikipedia.org/wiki/Giroc,True,
Bratislava,SlovakRepublic,48.14389,17.10972,https://en.wikipedia.org/wiki/Bratislava,True,
Ljubljana,Slovenia,46.05139,14.50611,https://en.wikipedia.org/wiki/Ljubljana,True,
Stockholm,Sweden,59.32944,18.06861,https://en.wikipedia.org/wiki/Stockholm,True,
Gothenburg,Sweden,57.7075,11.9675,https://en.wikipedia.org/wiki/Gothenburg,True,
Malmo,Sweden,55.60583,13.03583,https://en.wikipedia.org/wiki/Malmo,True,
Ankara,Turkiye,39.92889,32.85472,https://en.wikipedia.org/wiki/Ankara,True,
Adana,Turkiye,37.0,35.32133,https://en.wikipedia.org/wiki/Adana,True,
